"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-7975,4879.9,9908.5,0.78159,-9921.9,9335.2,5.569e+05,171319,1,2145.8,-2625.5,17961,4148.6,-1736.5,-17875,-19734,13671,-173.63,35358,345659,195,394,2859,1.2478,1.8069,0.11463
-7931.4,4939.6,9581.7,0.37498,-9594.7,9330.5,5.5476e+05,171317,1,2114.4,-2624.4,17968,4182.8,-1788,-17872,-20067,14052,-164,35700,345762,195,394,2859,1.2589,1.7992,0.11463
-8019.3,4821.4,10226,1.358,-10240,9341.9,5.5844e+05,171321,1,2254.8,-2664.4,17975,4037.2,-1633.6,-17889,-19155,13083,-210.19,34819,345486,195,394,2859,1.2367,1.8145,0.11463
-8173.3,5180.4,9584,0.1918,-9594.1,9666.7,5.5886e+05,172853,1,2309,-2612,17709,4031.8,-1825.2,-17706,-20005,14011,-222.48,35432,345677,195,394,2859,1.2593,1.7998,0.10116
-8217,5120.9,9910.2,0.71727,-9920.7,9671.4,5.575e+05,172855,1,2230.3,-2550.5,17852,4062.6,-1792.4,-17807,-19604,13530,-146.28,35134,345588,195,394,2859,1.2482,1.8074,0.10116
-8359.1,5473.6,9257,0.62481,-9264.3,9985,5.6438e+05,174387,1,2897.3,-2890.8,17190,3617.7,-1710.2,-17346,-20006,14174,-473.66,35078,345567,195,394,2859,1.2706,1.7925,0.087677
-8587.2,5704.7,9266.9,0.77058,-9272.2,10305,5.6641e+05,175923,1,3504.7,-3166.2,16598,3151,-1544.2,-16901,-19641,13977,-1001,34320,345299,195,394,2859,1.2709,1.7929,0.074193
-8065.4,4765.4,10532,2.519,-10547,9352.1,5.5919e+05,171323,1,2454.4,-2793.7,18051,3818,-1427,-17958,-18326,12339,-348.55,34161,345240,195,394,2859,1.2256,1.8221,0.11463
-8116.2,4714.9,10825,4.9727,-10839,9369.5,5.5944e+05,171325,1,2879.3,-3062.2,18213,3382.3,-1092.1,-18149,-17561,11664,-334.42,33704,345058,195,394,2859,1.2144,1.8296,0.11463
-8176.2,4674.1,11102,9.9836,-11116,9400.7,5.6014e+05,171327,1,3487.7,-3400.9,18264,2259.1,-367.1,-18220,-15535,10127,936.71,32238,344485,195,394,2859,1.2031,1.837,0.11463
