"Cartesian Velocity:0","Cartesian Velocity:1","Cartesian Velocity:2","Spherical Velocity:0","Spherical Velocity:1","Spherical Velocity:2","Pressure","PointID","RegionId","GSV:0","GSV:1","GSV:2","GSV:3","GSV:4","GSV:5","GSV:6","GSV:7","GSV:8","magGSV","magGSV_Order","DescendingManifold","AscendingManifold","MorseSmaleManifold","Points:0","Points:1","Points:2"
-658.46,-290.05,-296.86,-148.64,665.56,-375.18,3.688e+05,572185,1,-14593,27635,-14461,717.93,-14989,2302.7,-3047.3,-2085,-2225,37880,346493,367,1454,3029,1.3535,-0.18194,-1.7234
-344.03,-220.16,-239.71,-3.1064,392.93,-264.36,3.9835e+05,572187,1,-11378,10074,-10019,340.48,3367.9,5.2092,-3321.4,-9458.2,-1642.2,21118,338852,367,1467,3031,1.3429,-0.18194,-1.7317
-1358.7,356.74,-453.87,-512.03,1375.5,158.85,4.3668e+05,573717,1,-9372,56463,-13719,43623,-1.1696e+05,47833,-7232.3,34906,-9699.6,1.5066e+05,362143,367,1454,3029,1.3528,-0.19538,-1.7225
-271.37,-104.01,-272,59.413,367.93,-139.78,4.6903e+05,572189,1,-9505.2,-9452.2,-6334.5,-4648.3,15170,-5141.5,-711.48,-17670,1315.5,28503,342831,367,1467,3031,1.3322,-0.18194,-1.7399
98.792,-200.83,4.6105,73.524,-103.8,-184.22,4.6791e+05,573723,1,-15491,-8889.7,-10805,-6422.1,13844,-6369.8,-1887.7,-19939,780.45,33331,344892,367,1467,3031,1.3208,-0.19538,-1.7471
-1717.6,4914,-1290.2,-525.75,2711.5,4597.1,5.2146e+05,575247,1,20314,26545,12931,71605,-2.5661e+05,87947,6075.8,80476,-5018,2.9417e+05,366983,367,1454,3029,1.3625,-0.20881,-1.7132
-2553.1,2828,-1445.6,-706.58,3212.7,2405.2,4.9284e+05,575249,1,15631,46602,6872,1.0975e+05,-2.2011e+05,1.1333e+05,-14326,80099,-20989,2.8786e+05,366904,367,1454,3029,1.352,-0.20881,-1.7215
619.54,-226.15,331.95,125.57,-716.65,-125.76,4.895e+05,575257,1,-4308.8,-23203,-622.87,-13147,22471,-12493,4060.2,-27007,6174,46639,348944,367,1467,3031,1.3093,-0.20881,-1.7542
-2785.3,3720.9,-1796.8,-661.59,3749.1,3215.3,5.1066e+05,576783,1,-11280,17706,-10743,1.0122e+05,-1.8552e+05,1.0235e+05,-32367,63879,-33223,2.4885e+05,366310,367,1454,3029,1.3406,-0.22224,-1.7287
-1957.3,1642.6,-851.32,-677.4,2260.8,1297.6,4.8505e+05,576785,1,-42893,76983,-42703,1.1515e+05,-1.5674e+05,1.0831e+05,-47934,74706,-46338,2.6301e+05,366578,367,1466,3030,1.33,-0.22224,-1.7369
430.67,72.556,150.26,127.03,-421.41,140.01,5.3191e+05,575259,1,2663.8,-39055,6550.7,-11842,24037,-11686,5959,-30310,8010.2,58722,351457,367,1467,3031,1.2986,-0.20881,-1.7622
1069.3,-424.98,605.89,188.77,-1264.4,-238.4,5.1862e+05,576791,1,-28542,5445,-21991,3707.8,59834,-4896.4,-10370,-20221,-5161.8,74087,354139,367,1466,3030,1.2978,-0.22224,-1.7611
-2408.6,1507.5,-1153.6,-690.77,2793.5,1060.2,4.9462e+05,578319,1,-40517,85987,-42012,1.1974e+05,-1.3541e+05,1.0908e+05,-47817,94704,-48998,2.6273e+05,366574,367,1466,3030,1.3184,-0.23566,-1.7439
-989.05,-601.64,16.579,-536.93,680.51,-767.52,4.5207e+05,578321,1,-67186,1.1067e+05,-65097,91160,-52877,75575,-52834,71789,-49314,2.1953e+05,365582,367,1466,3030,1.3077,-0.23566,-1.752
1316.5,-100.03,677.6,235.48,-1459.8,125.46,5.6926e+05,576793,1,-29370,-38016,-16707,-15878,78122,-21578,440.22,-40290,5317.5,1.0516e+05,358112,367,1467,3031,1.2869,-0.22224,-1.769
1214.5,-1932.5,1113.9,21.917,-1902.8,-1682,5.2227e+05,578325,1,-34442,53478,-32359,31971,88734,11741,-14159,-3399.1,-10043,1.2017e+05,359658,367,1467,3031,1.2861,-0.23566,-1.7679
-1172.1,-1049,-129.24,-468.65,839.87,-1251.3,4.4977e+05,579855,1,-77973,1.2095e+05,-74685,81877,-65309,69807,-60259,91245,-57503,2.3957e+05,366110,367,1472,3032,1.2961,-0.24907,-1.7588
98.632,-2384.6,839.49,-346.73,-942.11,-2322.3,4.5042e+05,579857,1,-55524,90335,-53303,79023,-20000,60561,-42126,50908,-38074,1.7382e+05,363610,367,1475,3033,1.2852,-0.24907,-1.7667
